Activity,Timestamp,Value
Cat Detected,9/16 11:25PM,-
Clean Cycle Complete,9/16 10:07PM,-
Pet Weight Recorded ,9/16 10:05PM,7.4 lbs
Cycle Interrupted,9/16 10:05PM,-
Clean Cycle In Progress,9/16 10:04PM,-
Cat Detected,9/16 9:49PM,-
Clean Cycle Complete,9/16 7:55PM,-
Clean Cycle In Progress,9/16 7:53PM,-
Pet Weight Recorded ,9/16 7:38PM,9.2 lbs
Cat Detected,9/16 7:36PM,-
Clean Cycle Complete,9/16 12:22PM,-
Clean Cycle In Progress,9/16 12:20PM,-
Pet Weight Recorded ,9/16 12:04PM,19.4 lbs
Pet Weight Recorded ,9/16 12:03PM,19.5 lbs
Cat Detected,9/16 12:02PM,-
Clean Cycle Complete,9/16 11:55AM,-
Clean Cycle In Progress,9/16 11:53AM,-
Pet Weight Recorded ,9/16 11:38AM,9.3 lbs
Cat Detected,9/16 11:35AM,-
Clean Cycle Complete,9/16 10:32AM,-
Pet Weight Recorded ,9/16 10:31AM,8.2 lbs
Cycle Interrupted,9/16 10:30AM,-
Pet Weight Recorded ,9/16 10:30AM,7.3 lbs
Cycle Interrupted,9/16 10:29AM,-
Cycle Interrupted,9/16 10:28AM,-
Clean Cycle In Progress,9/16 10:28AM,-
Pet Weight Recorded ,9/16 10:13AM,19.5 lbs
